Pak	rest
is	en
in	en
confused	en
state	en
of	en
mind	en
.	rest
#SurgicalStrike	rest
hui	hi
ya	hi
nahi	hi
is	hi
par	hi
contradictory	en
statements	en
aa	hi
rahe	hi
hain	hi
.	rest
Nahi	hi
huyi	hi
to	hi
tension	en
mai	hi
kyon	hi
?	rest
	
@ncpspeaks	rest
former	en
Gen	en
.	rest
V	rest
P	rest
Malik	rest
aur	hi
DGMO	rest
Vinod	rest
Bhatiya	rest
ne	hi
kaha	hi
ki	hi
pahle	hi
kabhi	hi
#SurgicalStrike	rest
huyi	hi
hi	hi
nahi	hi
Jhootha	hi
kaun	hi
?	rest
@pawarspeaks	rest
	
Anyone	en
heard	en
of	en
hafiz	rest
saeed	rest
","	rest
salahuddin	rest
or	hi
masood	rest
azhar	rest
?	rest
or	en
has	en
@AsimBajwaISPR	rest
relocated	en
them	en
to	en
a	en
safe	en
place	en
?	rest
Away	en
from	en
IA	rest
?	rest
#SurgicalStrike	rest
	
@ArvindKejriwal	rest
Worldwide	en
#SurgicalStrike	rest
vdo	en
collect	en
kar	hi
rahe	hi
hain	hi
shayad	hi
Sirjee	rest
if	en
VDO	rest
na	hi
mile	hi
na	hi
Pls	en
do	en
collect	en
postal	en
stamp	en
Good	en
Hobby	en
	
RT	en
@UsmanAQayyum	rest
:	rest
Pak	rest
:	rest
Acha	hi
Dikao	hi
Zara	hi
Saboot	hi
Ind	rest
:	rest
#SurgicalStrike	rest
Pak	rest
:	rest
Hm	hi
.	rest
Mmmmm	en
Ind	en
:	rest
Promise	en
Kro	hi
Saboot	hi
Dekh	hi
K	hi
Delete	en
Kr	hi
Do	hi
Gye	hi
.	rest
#WellDone	rest
	
All	en
Netas	rest
demanding	en
proof	en
of	en
#SurgicalStrike	rest
","	rest
we	en
want	en
proof	en
ki	hi
aap	hi
apne	hi
baap	hi
ki	hi
sagi	hi
aulaad	hi
ho	hi
#Shame	rest
on	en
idiots	en
who	en
voted	en
these	en
bastards	en
	
RT	en
@MK7786	rest
:	rest
@oblmir	rest
Awkward	en
moment	en
is	en
pak	rest
army	en
denying	en
any	en
attacks	en
but	en
pak	rest
govt	en
condemned	en
#SurgicalStrike	rest
..	rest
Saalo	hi
decide	en
kar	hi
lo	hi
kya	hi
hua	hi
hai	hi
	
RT	en
@Grey_2994	rest
:	rest
Lagany	hi
aag	hi
jo	hi
aye	hi
thy	hi
aashiyany	hi
ko	hi
Wo	hi
sholay	hi
apny	hi
lahu	hi
c	rest
","	rest
bhuja	hi
diye	hi
